numero_dpe,date_etablissement_dpe,methode_application_dpe,etiquette_dpe,type_batiment,periode_construction,zone_climatique,code_insee_ban,typologie_logement,nombre_niveau_immeuble,nombre_niveau_logement,nombre_appartement,type_energie_principale_chauffage,type_energie_principale_ecs,type_ventilation,conso_5_usages_par_m2_ep,emission_ges_5_usages_par_m2,cout_chauffage,cout_ecs,cout_total_5_usages,surface_habitable_logement,surface_habitable_immeuble
2121E0634957G,2021-07-01,dpe maison individuelle,E,maison,avant 1948,H1c,21461,,,3,,Fioul domestique,Non affecté,,262.5,61.4,4620,415,5224,263.4,
2134E0031942W,2021-07-01,dpe appartement individuel,C,appartement,1989-2000,H3,34129,,,1,,Gaz naturel,Non affecté,,95.9,17.3,427,201,834,60,
2181E0022720Z,2021-07-01,dpe maison individuelle,D,maison,1948-1974,H2c,81257,,,2,,Gaz naturel,Non affecté,,222.6,30.6,1994,512,2609,143,
2150E0739673X,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50365,,1,1,1,Électricité,Non affecté,,135.1,5,613,90,835,66.2,66.2
2177E1040437U,2021-07-01,dpe appartement généré à partir des données DPE immeuble,C,appartement,1948-1974,H1a,77464,T1,6,1,38,Gaz naturel,Gaz naturel,VMC SF Hygro B avant  2001,88.4,16.8,96.6,233.2,458.7,49.6,2391.6
2144E0001315H,2021-07-01,dpe appartement individuel,C,appartement,1989-2000,H2b,44109,,,1,1,Électricité,Non affecté,,142.4,4.3,374.5,513.1,1018.8,,
2129E0292437S,2021-07-01,dpe appartement individuel,D,appartement,1948-1974,H2a,29105,,,1,,Gaz naturel,Non affecté,,192.8,22.6,441,469,1052,37,
2149E1037918V,2021-07-01,dpe appartement individuel,E,appartement,1948-1974,H2b,49007,,,1,5,Gaz naturel,Gaz naturel,VMC SF Auto réglable de 1982 à 2000,277.7,57.8,413,105,638,29,153
2107E0684522B,2021-07-01,dpe maison individuelle,G,maison,avant 1948,H2d,07314,,,2,,Électricité,Électricité,Ventilation par ouverture des fenêtres,173.3,5.4,397,346,843,63,
2150E0774425N,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50363,,1,1,1,Électricité,Non affecté,,130.6,5,551,115,823,67.1,67.1
2150E0774527L,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50525,,1,1,1,Électricité,Non affecté,,147.2,5,676,116,947,70,70
2157E0741499K,2021-07-01,dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement,F,appartement,1948-1974,,57683,,5,5,50,Gaz naturel,Non affecté,,318.1,70.9,1094.7,222.3,1381.7,63,3060
2150E0892708W,2021-07-01,dpe maison individuelle,D,maison,1983-1988,,50601,,1,1,1,Électricité,Non affecté,,201,7,716,93,959,52,52
2150E0745415T,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50525,,1,1,1,Électricité,Non affecté,,128,5,586,118,837,70,70
